columna,qué mide,origen,tipo,zona,decisión,¿existiría al predecir?,dónde queda,motivo
nofav_best_finishing_gap,Ventaja del underdog en definición del mejor definidor. Positivo = el underdog es superior.,calculada,decimal,verde,ENTRA,SÍ,silver,Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Diferencia orientada a la pregunta; sin redundancia exacta con otra columna.
nofav_best_reactions_gap,Ventaja del underdog en reacción (reactions) del jugador que mejor la tiene. Positivo = el underdog es superior.,calculada,decimal,verde,ENTRA,SÍ,silver,Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Diferencia orientada a la pregunta; sin redundancia exacta con otra columna.
nofav_best_marking_gap,Ventaja del underdog en marca del mejor marcador. Positivo = el underdog es superior.,calculada,decimal,verde,ENTRA,SÍ,silver,Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Diferencia orientada a la pregunta; sin redundancia exacta con otra columna.
nofav_strongest_strength_gap,Ventaja del underdog en fuerza del jugador más fuerte. Positivo = el underdog es superior.,calculada,decimal,verde,ENTRA,SÍ,silver,Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Diferencia orientada a la pregunta; sin redundancia exacta con otra columna.
nofav_xi_age_mean_gap,Ventaja del underdog en edad media del once (años). Positivo = el underdog es superior.,calculada,decimal,verde,ENTRA,SÍ,silver,Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Diferencia orientada a la pregunta; sin redundancia exacta con otra columna.
nofav_xi_height_mean_gap,Ventaja del underdog en altura media del once (cm). Positivo = el underdog es superior.,calculada,decimal,verde,ENTRA,SÍ,silver,Existe al publicarse las alineaciones: atributos con snapshot anterior al partido. Diferencia orientada a la pregunta; sin redundancia exacta con otra columna.
nofav_formacion,Formación del underdog como defensores-medios-delanteros (ej. 4-4-2).,calculada,categórica,amarillo,TRANSFORMAR,SÍ,silver,"Existe con la alineación. Sin señal incremental en el EDA (p = 0,66); 12 categorías: codificar agrupando las raras. Los mediapuntas (Y=8) cuentan como ataque: un 4-2-3-1 aparece como 4-2-4."
fav_formacion,Formación del favorito (mismo formato).,calculada,categórica,amarillo,TRANSFORMAR,SÍ,silver,Idem nofav_formacion.
gano_no_favorito,True si el underdog ganó el partido. Empate o derrota = False.,calculada,booleano,—,TARGET,NO,silver,Es lo que se quiere predecir: nunca puede ser feature.
match_id,Clave para unir con Silver.,fuente,entero,—,IDENTIFICADOR,SÍ,audit,
equipo_local,Nombre del equipo local.,fuente,texto,rojo,SOLO AUDITORÍA,SÍ,audit,"Descriptiva: 299 equipos, no generaliza a partidos nuevos. Solo para leer resultados."
equipo_visitante,Nombre del equipo visitante.,fuente,texto,rojo,SOLO AUDITORÍA,SÍ,audit,Idem equipo_local.
odds_home,Cuota decimal de victoria local de odds_source.,fuente,decimal,rojo,SOLO AUDITORÍA,SÍ,audit,Derivable: prob_home = (1/odds_home)/overround. Se guarda para reconstruir las probabilidades.
odds_draw,Cuota decimal de empate de odds_source.,fuente,decimal,rojo,SOLO AUDITORÍA,SÍ,audit,Idem odds_home.
odds_away,Cuota decimal de victoria visitante de odds_source.,fuente,decimal,rojo,SOLO AUDITORÍA,SÍ,audit,Idem odds_home.
overround,Margen de la casa: suma de las tres probabilidades sin normalizar.,calculada,decimal,rojo,SOLO AUDITORÍA,SÍ,audit,"Mide a la casa, no al partido: depende casi solo de odds_source (B365 ~1,064, PS ~1,024) y su correlación con el target es -0,02."
goles_local,Goles del local al final del partido.,fuente,entero,rojo,SOLO AUDITORÍA,NO,audit,FUGA: solo existe después del partido. Se usa únicamente para construir el target.
goles_visitante,Goles del visitante al final del partido.,fuente,entero,rojo,SOLO AUDITORÍA,NO,audit,FUGA: idem goles_local.
resultado_ft,"Resultado final: H (local), D (empate), A (visitante).",calculada,texto,rojo,SOLO AUDITORÍA,NO,audit,FUGA: es el resultado del partido.
resultado_no_favorito,Resultado del underdog: gano / empato / perdio.,calculada,texto,rojo,SOLO AUDITORÍA,NO,audit,FUGA: contiene el target (gano <=> gano_no_favorito).
home_xi_sin_atributos,Titulares locales sin snapshot de atributos previo.,calculada,entero,rojo,SOLO AUDITORÍA,SÍ,audit,"Control de calidad de la fila (0 en casi todas), no describe el partido."
away_xi_sin_atributos,Titulares visitantes sin snapshot de atributos previo.,calculada,entero,rojo,SOLO AUDITORÍA,SÍ,audit,Idem home_xi_sin_atributos.
pais,País de la liga.,fuente,texto,rojo,SALE,SÍ,no se genera,Redundante: relación 1 a 1 con liga. Ya no se extrae.
prob_gap,prob_home - prob_away.,calculada,decimal,rojo,SALE,SÍ,no se genera,Derivable exactamente de prob_home y prob_away.
es_partido_parejo,|prob_gap| < 0.05.,calculada,booleano,rojo,SALE,SÍ,no se genera,Quedaría constante (False): el umbral ahora filtra esas filas en vez de marcarlas.
home_xi_overall_mean,"Calidad media del once titular, equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_xi_overall_mean_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_top3_overall,"Calidad de las 3 figuras del once, equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_top3_overall_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_best_overall,"Calidad del mejor jugador en cancha, equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_best_overall_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_worst_overall,"El eslabón más débil del once, equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_worst_overall_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_overall_std,"Dispersión del once (equipo parejo vs. dependiente de figuras), equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_overall_std_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_gk_overall,"Calidad del arquero titular, equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_gk_overall_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_gk_reflexes,"Reflejos del arquero titular, equipo local.",calculada,decimal,rojo,SALE,SÍ,intermediate,"Hipótesis 3 (refutada): como diferencia underdog - favorito correlaciona 0,81 a 0,87 con la de gk_overall y no mejora la predicción (p = 0,25)."
home_gk_diving,"Estirada del arquero titular, equipo local.",calculada,decimal,rojo,SALE,SÍ,intermediate,"Hipótesis 3 (refutada): como diferencia underdog - favorito correlaciona 0,81 a 0,87 con la de gk_overall y no mejora la predicción (p = 0,25)."
home_gk_handling,"Manejo de pelota del arquero titular, equipo local.",calculada,decimal,rojo,SALE,SÍ,intermediate,"Hipótesis 3 (refutada): como diferencia underdog - favorito correlaciona 0,81 a 0,87 con la de gk_overall y no mejora la predicción (p = 0,25)."
home_def_overall,"Calidad de la línea defensiva que salió a jugar, equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_def_overall_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_mid_overall,"Calidad del mediocampo que salió a jugar, equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_mid_overall_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_att_overall,"Calidad de la línea de ataque que salió a jugar, equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_att_overall_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_fastest_sprint_speed,"Velocidad del jugador más rápido, equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_fastest_sprint_speed_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_best_finishing,"Definición del mejor definidor, equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_best_finishing_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_best_reactions,"Reacción (reactions) del jugador que mejor la tiene, equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_best_reactions_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_best_marking,"Marca del mejor marcador, equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_best_marking_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_strongest_strength,"Fuerza del jugador más fuerte, equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_strongest_strength_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_xi_age_mean,"Edad media del once (años), equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_xi_age_mean_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_xi_height_mean,"Altura media del once (cm), equipo local.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_xi_height_mean_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
home_formacion,Formación del equipo local.,calculada,categórica,amarillo,TRANSFORMAR,SÍ,intermediate,Se orienta a underdog/favorito: nofav_formacion / fav_formacion.
away_xi_overall_mean,"Calidad media del once titular, equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_xi_overall_mean_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_top3_overall,"Calidad de las 3 figuras del once, equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_top3_overall_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_best_overall,"Calidad del mejor jugador en cancha, equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_best_overall_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_worst_overall,"El eslabón más débil del once, equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_worst_overall_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_overall_std,"Dispersión del once (equipo parejo vs. dependiente de figuras), equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_overall_std_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_gk_overall,"Calidad del arquero titular, equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_gk_overall_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_gk_reflexes,"Reflejos del arquero titular, equipo visitante.",calculada,decimal,rojo,SALE,SÍ,intermediate,"Hipótesis 3 (refutada): como diferencia underdog - favorito correlaciona 0,81 a 0,87 con la de gk_overall y no mejora la predicción (p = 0,25)."
away_gk_diving,"Estirada del arquero titular, equipo visitante.",calculada,decimal,rojo,SALE,SÍ,intermediate,"Hipótesis 3 (refutada): como diferencia underdog - favorito correlaciona 0,81 a 0,87 con la de gk_overall y no mejora la predicción (p = 0,25)."
away_gk_handling,"Manejo de pelota del arquero titular, equipo visitante.",calculada,decimal,rojo,SALE,SÍ,intermediate,"Hipótesis 3 (refutada): como diferencia underdog - favorito correlaciona 0,81 a 0,87 con la de gk_overall y no mejora la predicción (p = 0,25)."
away_def_overall,"Calidad de la línea defensiva que salió a jugar, equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_def_overall_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_mid_overall,"Calidad del mediocampo que salió a jugar, equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_mid_overall_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_att_overall,"Calidad de la línea de ataque que salió a jugar, equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_att_overall_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_fastest_sprint_speed,"Velocidad del jugador más rápido, equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_fastest_sprint_speed_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_best_finishing,"Definición del mejor definidor, equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_best_finishing_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_best_reactions,"Reacción (reactions) del jugador que mejor la tiene, equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_best_reactions_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_best_marking,"Marca del mejor marcador, equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_best_marking_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_strongest_strength,"Fuerza del jugador más fuerte, equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_strongest_strength_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_xi_age_mean,"Edad media del once (años), equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_xi_age_mean_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_xi_height_mean,"Altura media del once (cm), equipo visitante.",calculada,decimal,amarillo,TRANSFORMAR,SÍ,intermediate,"Se reemplaza por nofav_xi_height_mean_gap. Hipótesis 4: el nivel de cada lado no agrega información sobre la diferencia (p = 0,42)."
away_formacion,Formación del equipo visitante.,calculada,categórica,amarillo,TRANSFORMAR,SÍ,intermediate,Se orienta a underdog/favorito: nofav_formacion / fav_formacion.
xi_overall_mean_gap,Diferencia local - visitante de xi_overall_mean.,calculada,decimal,rojo,SALE,SÍ,no se genera,Derivable exactamente: es nofav_xi_overall_mean_gap con el signo invertido cuando el underdog es visitante.
top3_overall_gap,Diferencia local - visitante de top3_overall.,calculada,decimal,rojo,SALE,SÍ,no se genera,Derivable exactamente: es nofav_top3_overall_gap con el signo invertido cuando el underdog es visitante.
worst_overall_gap,Diferencia local - visitante de worst_overall.,calculada,decimal,rojo,SALE,SÍ,no se genera,Derivable exactamente: es nofav_worst_overall_gap con el signo invertido cuando el underdog es visitante.
gk_overall_gap,Diferencia local - visitante de gk_overall.,calculada,decimal,rojo,SALE,SÍ,no se genera,Derivable exactamente: es nofav_gk_overall_gap con el signo invertido cuando el underdog es visitante.
def_overall_gap,Diferencia local - visitante de def_overall.,calculada,decimal,rojo,SALE,SÍ,no se genera,Derivable exactamente: es nofav_def_overall_gap con el signo invertido cuando el underdog es visitante.
mid_overall_gap,Diferencia local - visitante de mid_overall.,calculada,decimal,rojo,SALE,SÍ,no se genera,Derivable exactamente: es nofav_mid_overall_gap con el signo invertido cuando el underdog es visitante.
att_overall_gap,Diferencia local - visitante de att_overall.,calculada,decimal,rojo,SALE,SÍ,no se genera,Derivable exactamente: es nofav_att_overall_gap con el signo invertido cuando el underdog es visitante.
fastest_sprint_speed_gap,Diferencia local - visitante de fastest_sprint_speed.,calculada,decimal,rojo,SALE,SÍ,no se genera,Derivable exactamente: es nofav_fastest_sprint_speed_gap con el signo invertido cuando el underdog es visitante.
best_finishing_gap,Diferencia local - visitante de best_finishing.,calculada,decimal,rojo,SALE,SÍ,no se genera,Derivable exactamente: es nofav_best_finishing_gap con el signo invertido cuando el underdog es visitante.
xi_age_mean_gap,Diferencia local - visitante de xi_age_mean.,calculada,decimal,rojo,SALE,SÍ,no se genera,Derivable exactamente: es nofav_xi_age_mean_gap con el signo invertido cuando el underdog es visitante.
